flow_duration,total_fwd_packets,total_bwd_packets,packet_length_mean,packet_length_std,protocol,destination_port,flow_bytes_per_sec,flow_packets_per_sec,connection_count,label
112.987496,358,275,1115.14,123.75,6,8080,5088.75,46.47,4,BENIGN
43.717179,140,154,145.01,147.18,17,443,9173.07,19.16,12,BENIGN
183.884295,262,240,97.12,109.71,6,995,48690.4,24.04,15,BENIGN
374.847746,1999,1640,493.29,26.0,6,22,12347.12,38.25,266,BruteForce
4.966223,98,18,1224.86,67.88,6,8443,12127.17,68.64,12,BENIGN
247.638937,8227,3153,2343.84,662.52,17,1022,520068.07,5467.11,310,ANOMALY
10.362674,411,222,709.85,85.08,17,110,28565.15,52.56,8,BENIGN
4.222825,2,4,75.21,19.31,6,57837,713.21,40.31,564,PortScan
5.675286,18,133,349.36,11.05,17,80,35595.96,79.23,5,BENIGN
277.963963,50,32,1303.42,128.43,6,25,15618.02,33.19,3,BENIGN
295.689764,8155,1571,4260.49,119.59,1,25336,561277.24,7709.67,359,ANOMALY
33.855818,306,1088,144.36,24.77,6,3389,1112.87,129.1,663,BruteForce
2.816815,4,4,54.96,8.21,6,33828,4714.84,30.34,3814,PortScan
49.205165,75,174,1224.46,130.35,17,995,11000.18,42.23,11,BENIGN
201.363562,2138,1421,242.52,45.81,6,22,4944.74,88.29,727,BruteForce
21.218874,10474,69,797.43,237.83,6,8080,2767182.1,12962.15,364,DoS
97.637677,105,237,643.91,22.33,6,995,12663.94,50.23,17,BENIGN
45.277992,449,85,447.1,195.56,6,25,14004.46,90.92,19,BENIGN
204.53093,62,176,707.02,115.05,6,25,38104.82,24.53,6,BENIGN
110.967157,381,102,973.75,111.8,6,80,7620.81,51.31,16,BENIGN
13.191767,157,256,1036.98,13.15,6,8080,17498.43,10.52,9,BENIGN
207.590384,137,43,1409.14,36.13,6,143,10532.67,54.6,10,BENIGN
78.124547,261,148,1237.53,115.49,6,443,49813.06,96.58,5,BENIGN
270.224999,18,237,565.46,147.93,17,110,20284.96,88.89,11,BENIGN
280.754863,429,108,934.83,11.75,6,8080,48685.83,29.11,14,BENIGN
165.071403,319,167,1000.22,52.61,17,80,24745.3,18.7,8,BENIGN
254.9178,410,132,880.09,27.8,6,25,12598.04,59.4,6,BENIGN
118.53622,447,268,970.32,161.01,6,995,33479.31,86.55,16,BENIGN
84.950936,44,196,990.9,43.65,17,53,44186.35,75.02,5,BENIGN
278.56725,311,185,885.81,196.26,6,53,9626.46,27.58,3,BENIGN
51.678331,290,227,1276.29,186.7,6,443,30788.86,99.02,2,BENIGN
76.994931,499,277,1282.69,35.96,17,25,14750.23,81.13,3,BENIGN
1.281779,8,4,44.9,0.1,6,61460,3253.32,35.4,4995,PortScan
25.479189,6003,1167,3392.73,93.98,1,575,981840.89,8389.34,58,ANOMALY
10.119575,189,174,1245.25,78.44,6,80,41410.66,27.88,12,BENIGN
187.244252,205,266,138.21,110.96,6,25,7003.82,14.14,18,BENIGN
155.373804,167,151,1205.89,61.46,6,25,12617.94,19.25,9,BENIGN
206.86147,138,62,1378.25,94.05,6,853,35758.34,66.36,1,BENIGN
286.504719,496,196,860.05,126.23,6,995,28345.26,16.71,14,BENIGN
45.990353,2142,3060,1594.47,17.16,17,432,806913.0,3463.05,254,ANOMALY
26.087714,27646,9,1426.97,449.01,6,443,6296013.17,25653.68,306,DoS
162.273857,13,20,165.34,132.06,6,993,40067.37,68.04,3,BENIGN
77.372942,9000,42,1415.94,370.27,17,443,10730875.81,58422.42,211,DDoS
50.478923,8946,2083,3042.26,655.72,136,970,23272.03,8144.69,105,ANOMALY
149.315199,323,118,967.16,176.72,17,53,48382.27,55.25,5,BENIGN
225.433811,201,231,1486.37,88.4,6,25,29069.15,86.84,5,BENIGN
119.37457,3767,2327,6795.8,103.12,6,62,496561.24,3896.19,397,ANOMALY
268.761445,186,104,79.56,182.02,6,25,47844.36,68.0,19,BENIGN
300.885138,243,934,136.68,32.11,6,22,13614.11,151.71,250,BruteForce
470.96467,1162,158,472.37,48.84,6,21,11215.81,91.1,314,BruteForce
164.228815,340,150,1454.98,140.73,17,80,5146.02,9.33,13,BENIGN
111.365951,6939,2682,1336.51,513.33,1,500,236685.27,9076.94,301,ANOMALY
90.528693,171981,30,755.67,364.59,17,443,45364542.06,26683.51,1674,DDoS
159.672483,4949,1293,328.59,38.34,6,22,16544.41,150.12,486,BruteForce
291.726046,505,1215,4309.88,82.89,6,934,436335.89,8021.09,173,ANOMALY
290.993769,326,153,126.32,185.68,17,8443,27737.33,96.96,18,BENIGN
50.698414,314,18,486.89,199.21,6,8080,45067.78,5.5,12,BENIGN
287.65202,281,160,546.01,42.24,6,110,17732.28,58.78,5,BENIGN
292.344047,201,149,465.74,88.13,6,8080,41144.61,95.03,5,BENIGN
184.411144,459,14,1403.4,174.55,6,25,20621.63,77.98,18,BENIGN
296.195563,186,271,917.17,82.37,17,993,28497.17,7.29,9,BENIGN
125.031031,394,10,1057.3,111.53,17,8080,27816.04,77.13,5,BENIGN
45.449164,54330,16,410.2,142.27,6,80,6101128.88,12203.5,418,DoS
227.342741,43,99,227.07,137.6,6,853,41585.44,31.47,1,BENIGN
166.020145,398,226,1201.05,122.09,6,25,37781.35,62.41,2,BENIGN
4.025418,7,3,98.83,12.16,6,25935,2193.0,45.3,1831,PortScan
164.686446,490,34,957.32,173.85,17,8443,23021.41,84.37,17,BENIGN
1.291964,8,4,98.8,9.85,6,36587,2902.45,17.74,1260,PortScan
230.113568,6239,3446,6285.05,180.07,132,281,896788.42,4739.62,93,ANOMALY
4.865579,3,2,89.31,6.9,6,23062,452.63,6.91,1023,PortScan
62.693782,43,82,538.02,71.1,6,143,34420.46,51.65,11,BENIGN
276.340848,70,30,1310.88,26.06,6,8443,10546.53,37.68,14,BENIGN
309.16556,8151,2126,4173.56,747.47,1,883,713349.61,8952.07,238,ANOMALY
225.135253,283,298,828.84,56.07,6,53,9195.97,56.83,17,BENIGN
64.222954,483,130,235.98,179.2,6,8443,17819.7,65.23,18,BENIGN
61.28297,4306,1543,334.74,38.54,6,22,11506.94,78.86,712,BruteForce
109.561607,291,230,414.89,104.67,6,143,11937.62,11.08,6,BENIGN
44.16014,77303,3,1285.77,161.52,17,8443,44889888.52,20645.58,442,DDoS
6.454502,238,40,1496.06,180.36,6,993,43288.81,81.89,17,BENIGN
147.733885,495,66,1398.58,115.78,6,8080,41945.27,21.3,4,BENIGN
51.339654,185448,19,412.1,180.39,6,8443,4820863.89,103690.27,1734,DDoS
144.86089,268,165,594.21,96.31,6,587,49499.02,32.91,2,BENIGN
0.440253,5,0,85.61,11.91,6,26615,3973.5,6.23,2104,PortScan
99.759019,267379,49,242.49,611.61,17,8443,19271814.96,185657.64,1543,DDoS
172.767461,329,271,1206.0,48.31,6,53,9401.61,24.33,14,BENIGN
157.396562,141,93,1323.66,84.56,17,25,35717.74,90.07,6,BENIGN
162.394538,72,147,893.27,77.52,6,443,27223.29,90.74,19,BENIGN
271.47037,8390,2627,5656.82,334.91,132,57861,878629.13,4954.24,478,ANOMALY
537.396624,519,206,160.67,19.03,6,22,15682.15,32.91,295,BruteForce
34.236392,33265,4,1323.04,203.94,1,8443,4624302.17,30593.94,64,DoS
239.391314,270,161,393.21,147.23,17,8080,34728.03,54.73,11,BENIGN
180.10978,157,15,1441.23,75.08,6,25,23154.09,94.78,12,BENIGN
4.55935,8,1,76.69,0.36,6,19916,520.04,46.02,3435,PortScan
1.479054,1126,91,601.69,81.01,6,443,9350233.45,46352.86,456,DoS
37.720424,110,114,331.56,169.12,6,853,25990.02,59.54,15,BENIGN
0.274753,9,1,88.17,0.09,6,25151,2078.38,43.31,885,PortScan
140.244337,484,21,907.03,16.24,17,853,8901.71,50.34,6,BENIGN
11.129869,170,181,1184.79,62.74,6,443,33210.51,18.63,9,BENIGN
45.450156,127,67,1495.51,105.42,6,25,21396.77,80.18,17,BENIGN
4.867685,95397,15,875.11,146.0,17,8080,26618562.64,109218.9,1336,DDoS
24.105707,39565,50,286.92,131.87,1,8080,3795762.23,14266.49,415,DoS
263.336575,55,1824,6449.43,658.92,6,313,221972.24,2310.76,443,ANOMALY
152.146856,337,58,551.19,118.19,17,995,11985.32,10.84,14,BENIGN
36.231524,85458,15,634.36,350.64,6,443,228719.04,5189.92,200,DoS
254.590301,121,40,987.24,143.75,17,53,17156.69,26.68,2,BENIGN
109.554704,128,24,960.28,87.79,6,443,43067.29,22.73,12,BENIGN
42.89384,211,162,763.95,179.96,17,80,24290.44,51.73,9,BENIGN
162.94863,246,285,434.33,36.48,17,8443,6700.58,90.16,2,BENIGN
16.411209,82994,69,1376.93,102.99,6,443,765036.46,20857.16,427,DoS
86.564209,53756,41,265.07,284.58,6,8080,30071948.56,122100.79,1020,DDoS
10.60474,60052,16,665.35,222.41,6,443,1746205.35,37163.65,356,DoS
28.010751,380,286,162.01,169.05,6,8443,35980.39,30.42,3,BENIGN
56.963477,54302,23,1409.29,379.66,6,8443,5444443.51,8938.68,293,DoS
40.34123,4560,531,349.33,26.34,6,22,1965.19,147.0,316,BruteForce
84.738603,88559,41,724.1,153.15,6,8443,34887475.31,58068.3,1065,DDoS
31.82503,110,48,1223.47,192.8,17,143,22355.69,19.33,16,BENIGN
262.010805,273,153,1153.98,147.58,6,110,12558.43,49.45,15,BENIGN
208.259388,498,30,120.62,144.06,17,25,27834.75,47.85,7,BENIGN
11.149848,126,11,490.99,185.64,17,25,39787.56,74.76,7,BENIGN
278.534774,1566,1563,357.82,34.26,6,3389,11433.21,98.81,230,BruteForce
209.190344,433,187,644.84,118.76,17,8443,39557.09,32.56,18,BENIGN
156.530265,435,112,398.53,14.64,17,993,43747.61,53.36,3,BENIGN
51.317526,913,78,406.88,23.09,6,22,9855.74,118.25,847,BruteForce
59.0466,51072,83,1123.17,157.45,6,443,3040328.48,42788.27,195,DoS
70.848718,162,197,1371.25,18.57,6,143,34014.4,22.61,5,BENIGN
94.468229,243506,5,1474.63,718.94,6,443,30863863.77,37571.62,763,DDoS
0.325867,8,3,90.27,4.61,6,34158,1161.04,9.65,2765,PortScan
4.889467,191626,5,1213.91,540.84,6,80,46423738.02,199007.03,1796,DDoS
15.687979,85386,49,769.34,498.35,1,8080,2321961.66,11967.06,138,DoS
178.289041,407,102,720.87,84.32,6,143,2314.4,85.37,10,BENIGN
97.237171,394159,24,855.03,160.89,6,8080,751565.92,140664.29,1399,DDoS
2.479883,6,4,53.21,13.67,6,45649,316.97,44.26,817,PortScan
